Title,Date,Issuing Org,Type of Organization Issuing,Topic,Peer reviewed,Strength of Industry Ties,Type of Industry Ties,Duplicate?,Notes on Industry Ties,Other Notes,Authors,Organizations,Link,,
"""Economic Considerations Associated with Regulating the American Oil and Natural Gas Industry",2009,Advanced Resources International,Consultant,Manufacturing/Economy,No,Strong,F,,Prepared for Independent Petroleum Association of America and The Liaison Committee of Cooperating Oil and Gas Associations.,,,Advanced Resources International; IPAA; The Liaison Committee of Cooperating Oil and Gas Associations,http://energyindepth.org/docs/pdf/Brief/BRIEF-Economic-Consequences.pdf,,
"""Environmental and Regulatory Considerations Associated with the American Oil and Natural Gas Industry""",2009,Advanced Resources International,Consultant,Manufacturing/Economy,No,Strong,F,,Prepared for Independent Petroleum Association of America and The Liaison Committee of Cooperating Oil and Gas Associations.,Not clear why this is listed under Manufacturing/Economics,,Advanced Resources International; IPAA; The Liaison Committee of Cooperating Oil and Gas Associations,http://energyindepth.org/docs/pdf/Brief/BRIEF-State_Fed-Partnership.pdf,,
"""Evaluating the Environmental Implications of Hydraulic Fracturing in Shale Gas Reservoirs""",2008,ALL Consulting,Consultant,Public Health/Environment,No,Medium,"A, C",,ALL is an industry consultant. Author Brian Bohm now works for Southwestern Energy. Author Mark Layne spearheaded a project for Chevron.,,J Daniel Arthur; Brian Bohm; Bobbi Jo Coughlin; Mark Layne,,http://energy.wilkes.edu/PDFFiles/Issues/EvaluatingTheEnvironmentalImplicationsOfHydraulicFracruringInShaleGasReservoirs.pdf,,Numerous O&G and petrochemical cos are members of C2ES; American Clean Skies Foundation (an industry-funded front group) and American Gas Association supported this report.
"""Prudent and Sustainable Water Management and Disposal Alternatives Applicable to Shale Gas Development""",2009,ALL Consulting,Consultant,Water Quality & Use,No,Medium,C,,"ALL is an industry consultant. This is a PowerPoint presented to GWPC, which receives O&G industry funding and runs the FracFocus chemical disclosure website with O&G industry partners.","Not a study, just a",J Daniel Arthur,GWPC,http://energyindepth.org/docs/pdf/ALL-Shale-Gas-Water.pdf,,ALL Consulting; Groundwater Protection Council
"""Marcellus Royalty Payments Rising Rapidly""",2013,Allegheny Institute for Public Policy,Think Tank,Manufacturing/Economy,No,None found,,,"Right-wing think tank, gets funding primarily from 3 Scaife family foundations.",,Frank Gamrat,Allegheny Institute for Public Policy,http://www.alleghenyinstitute.org/wp-content/uploads/components/com_policy/uploads/Vol13No27.pdf,,
"""A geochemical context for stray gas investigations in the northern Appalachian Basin: Implications of analyses of natural gases from Neogene- through Devonian-age strata""",2014,American Association of Petroleum Geologists Bulletin,Peer-reviewed journal,Water Quality & Use,Yes,Medium,A,,"Author Fred Baldassare works for Echelon Applied Geosciences, a gas industry consultancy. Author Mark McCaffrey works for Weatherford Labs, which provides laboratory services to every major oil and gas producer.",,Fred Baldassare; Mark McCaffrey; John A Harper,AAPG,http://archives.datapages.com/data/bulletns/2014/02feb/BLTN12178/BLTN12178.HTM?q=%2BauthorStrip%3Abaldassare,,
"""Shale Gas and New Petrochemicals Investment: Benefits for the Economy, Jobs, and US Manufacturing""",2011,American Chemistry Council,Trade group,Manufacturing/Economy,No,Strong,M,,,,Martha Gilchrist Moore; Thomas Kevin Swift; Emily Sanchez,American Chemistry Council,http://chemistrytoenergy.com/sites/chemistrytoenergy.com/files/ACC-Shale-Report.pdf?utm_campaign=c2e_site&utm_content=040313_shale_petro_report&utm_source=C2E%20&utm_medium=website,,
"""Shale Gas, Competitiveness, and New US Chemical Industry Investment""",2013,American Chemistry Council,Trade group,Manufacturing/Economy,No,Strong,M,,,,Martha Gilchrist Moore; Thomas Kevin Swift,American Chemistry Council,http://chemistrytoenergy.com/sites/chemistrytoenergy.com/files/shale-gas-full-study.pdf,,
"""Driving on Natural Gas: Fuel Price and Demand Scenarios for Natural Gas Vehicles to 2025""",2013,American Clean Skies Foundation,Think tank,Other,No,Strong,"F, A",,"ACSF is an industry front group, funded by AGA & ANGA and formerly controlled by Chesapeake Energy. Author Patrick Bean previously worked for the Southern Company.",,Gregory C Staple; Patrick Bean,American Clean Skies Foundation;,http://www.cleanskies.org/wp-content/uploads/2013/04/driving-natural-gas-report.pdf,,
"""Why Rapid Approval of LNG Applications is Important for U.S. Prospertiy""",2013,American Council for Capital Formation,Trade group,Other,No,Strong,"M, I",,"ACCF is heavily funded by industry including API, Cheniere, and Dominion Energy.",,Margo Thorning,American Council for Capital Formation,http://actonlng.org/wp-content/uploads/2013/07/ACCF-LNG-Margo-Thorning-July-2013.pdf,,
"""Benefits of Hydraulic Fracturing""",2013,American Enterprise Institute,Think Tank,Public Health/Environment,No,Medium,I,Yes,AEI receives some funding from industry including Exxon.,Second entry on EID list for this report from industry-funded think tank; unclear why this is in the public health/environment section,Kevin Hassett; Apama Mathur,,http://www.aei.org/wp-content/uploads/2013/04/-benefits-of-hydraulic-fracking_095955248581.pdf,,
"""Benefits of Hydraulic Fracturing""",2013,American Enterprise Institute,Think Tank,Manufacturing/Economy,No,Medium,I,,AEI receives some funding from industry including Exxon.,,Kevin Hassett; Apama Mathur,,http://www.aei.org/wp-content/uploads/2013/04/-benefits-of-hydraulic-fracking_095955248581.pdf,,American Enterprise Institute
"""The technology behind natural gas supplies""",2010,American Exploration and Production Council,Trade group,Manufacturing/Economy,No,Strong,"F, M",,"Represents 32 independent oil and gas exploration and production companies. Membership includes Chesapeake, Noble Energy, and Southwestern Energy.",,,American Exploration and Production Council,http://energyindepth.org/wp-content/uploads/2009/03/AXPC_fracturing.pdf,,
"""Identifying Key Economic Impacts of Recent Increases in U.S. Natural Gas Production""",2012,American Gas Association,Trade group,Manufacturing/Economy,No,Strong,M,,"Produced by American Gas Association, Policy Analysis Group.",Link in EID list is broken,,,https://www.aga.org/sites/default/files/legacy-assets/Kc/analyses-and-statistics/studies/demand/Documents/EA%202012-03%20Economic%20Impact%20of%20Increased%20Gas%20Supplies%20May%202012.pdf,,
"""Identifying Key Economic Impacts of Recent Increases in U.S. Natural Gas Production""",2012,American Gas Association,Trade group,Manufacturing/Economy,No,Strong,M,Yes,"Produced by American Gas Association, Policy Analysis Group.",Second appearance of this report. Link in EID list is broken.,,,https://www.aga.org/sites/default/files/legacy-assets/Kc/analyses-and-statistics/studies/demand/Documents/EA%202012-03%20Economic%20Impact%20of%20Increased%20Gas%20Supplies%20May%202012.pdf,,
"""Hydraulic Fracturing Operations - Well Construction and Integrity Guidelines""",2009,API,Trade group,Public Health/Environment,No,Strong,"F, M",,"API is a major oil and natural gas trade association. See ""The Industry Players"" in report (p. xx).","Not a study, just a ""guidance document"" from O&G trade/lobbying org",,API,http://energyindepth.org/wp-content/uploads/2009/03/API-HF.pdf,,
"""Marcellus Workshop in NY: Best Practices for Ensuring Safe, Efficient Deployment of HF""",2009,API,Trade group,Other,No,Strong,"F, M",,"API is a major oil and natural gas trade association. See ""The Industry Players"" in report (p. xx).","Not a study, just a PowerPoint",,API,http://marcelluscoalition.org/wp-content/uploads/2010/05/API-Marcellus-Workshop-in-NY_Best-Practices-for-Ensuring-Safe-Efficient-Deployment-of-HF-2.pdf,,
"""The Economic Impacts of the Marcellus Shale: Implications for NY, PA, and WV""",2010,API,Trade group,Public Health/Environment,No,Strong,"F, M",,"Prepared for API by industry contract researcher, Timothy Considine. See ""The Industry Players"" in report (p. xx) for more on API.",Does not belong in Public Health/Environment section,Timothy Considine,API,http://marcelluscoalition.org/wp-content/uploads/2010/09/API-Economic-Impacts-Marcellus-Shale.pdf,,
"""Characterizing Pivotal Sources of Methane Emissions from Natural Gas Production""",2012,API & ANGA,Trade group,Public Health/Environment,No,Strong,"F, M",,"Prepared for API & ANGA by authors from industry consulting firms, URS Corporation, an engineering and construction contractor, and The LEVON Group, an environmental consultant. See ""The Industry Players"" in report (p. xx).",Summary and analysis of API & ANGA survey responses,Terri Shires; Miriam Lev-On,API; ANGA; URS Corporation; The LEVON Group,http://www.api.org/~/media/Files/News/2012/12-October/API-ANGA-Survey-Report.pdf,,
"""Characterizing Pivotal Sources of Methane Emissions from Natural Gas Production""",2012,API & ANGA,Trade group,Public Health/Environment,No,Strong,"F, M",Yes,"Prepared for API & ANGA by authors from industry consulting firms, URS Corporation, an engineering and construction contractor, and The LEVON Group, an environmental consultant. See ""The Industry Players"" in report (p. xx).",Second appearance of this industry-funded report. Summary and analysis of API & ANGA survey responses.,Terri Shires; Miriam Lev-On,API; ANGA; URS Corporation; The LEVON Group,http://www.api.org/~/media/Files/News/2012/12-October/API-ANGA-Survey-Report.pdf,,
"""New Dynamics of the U.S. Natural Gas Market""",2013,Bipartisan Policy Center,Think Tank,Manufacturing/Economy,No,Strong,"C, I",,"Think tank funders include Exxon and Shell. Report advisory group includes reps from industry trade groups (ANGA, AGA) O&G companies (Shell, Dominion, Pioneer) and industry consultants (ICF International). Industry consultants from OnLocation provided research for this report.",,Tracy Terry; David Rosner; Scott McKee,OnLocation,,,Bipartisan Policy Institute; Exxon and Shell; advisory council? authors?
"""Nearly Every Manufacturer in the U.S. Will Benefit from Low-Cost Natural Gas""",2014,Boston Consulting Group,Consultant,Manufacturing/Economy,No,None found,,,,,,,,,
